Team	User	F1	Precision	Recall	Accuracy	  ❤️	😍	😂	💕	😊	😘	💪	😉	👌	🇪🇸	😎	💙	💜	😜	💞	✨	🎶	💘	😁
TueOslo	cagri	22.364	23.487	22.797	37.27	69.647	37.287	53.365	8.529	14.918	26.859	39.828	16.284	10.959	49.941	14.72	14.191	6.079	5.83	4.211	19.968	23.742	5.364	3.2
Hatching Chick	reinardvandalen	18.729	20.662	19.163	37.23	64.725	34.635	51.356	6.847	10.506	20.755	32.701	9.339	10.631	44.649	11.268	6.391	1.439	4	4.651	13.843	21.277	6.03	0.806
Hopper	derpferd	18.184	19.021	18.604	34.83	65.818	33.393	45.892	7.375	13.787	20.17	31.942	11.311	8.889	45.169	10.63	6.204	1.875	5.201	3.871	11.951	13.559	3.791	4.665
U+1F485	kennywlino	17.084	18.99	20.36	25.13	56.054	16.342	40.242	5.479	9.483	20.23	32.648	13.231	11.795	33.422	13.548	9.538	6.796	7.256	3.655	16.773	14.44	8.584	5.085
Duluth UROP	shuning	16.753	17.114	18.1	28.51	33.449	30.023	51.296	5.515	10.163	22.169	34.066	9.95	12.042	38.899	12.632	5.426	2.02	4.975	2.581	14.354	20.339	4.04	4.375
Nova	wangsh	16.696	17.199	17.065	26.5	33.759	27.467	46.561	5.97	10.796	21.494	32.335	10.286	8.017	43.558	10.695	6.417	3.145	7.676	5.618	13.462	18.868	6.604	4.5
-	lanman	16.408	16.912	16.484	30.82	66.429	29.427	41.641	6.935	12.74	18.713	28.173	7.232	6.327	38.806	8.013	5.667	2.927	3.976	3.727	9.076	16.239	2.857	2.851
MMU School of Computing, Mathematics and Digital Technology	mattshardlow	16.338	17.831	16.402	28.92	38.926	29.216	47.231	6.702	11.208	14.263	36.092	11.14	10.272	40.756	12.177	5.21	1.329	5.923	2.667	12.85	18.66	1.01	4.79
PickleTeam!	simondewit	15.856	17.565	16.759	29.7	38.787	29.122	49.893	4.248	10.316	17.335	32.01	7.849	12.963	41.683	10.643	3.564	0.714	2.332	1.563	12.844	20.58	3.297	1.515
U+1F485	anbasile	14.959	15.066	16.18	34.17	60.823	31.837	46.622	0	13.501	16.463	23.746	7.538	4.8	44.147	7.323	0	0	0	0	11.075	16.355	0	0
ART @ Tor Vergata	andry9454	14.912	15.811	15.513	30.68	60.399	28.604	42.995	7.482	10.304	13.333	26.404	8.344	5.985	38.47	5.231	3.15	0	2.532	3.306	8.061	13.976	3.371	1.389
-	NAVEEN.J.R	14.682	16.324	16.203	34.85	62.372	32.525	46.698	7.65	12.397	17.521	26.462	2.362	6.024	32.264	4.651	0	0	0	0	12.648	15.385	0	0
HPCC-YNU	sherlock_1412	14.252	17.514	15.984	31.19	39.777	31.054	51.699	0	13.857	20	35.833	8.547	5.809	27.387	9.029	0	0	0.714	0	7.646	18.509	0	0.935
Amrita_CEN_NLP1	Amrita_student	12.125	12.458	12.411	21.64	34.543	24.589	34.559	6.115	12.628	11.007	21.227	8.14	3.765	29.221	8.418	3.704	1.77	5.425	0	9.466	11.429	2.062	2.309
-	erai	11.364	12.716	11.388	23.38	34.557	23.96	40.171	5.941	9.827	10.154	21.314	3.824	3.067	26.582	4.274	3.187	2.915	5.685	2.395	6.464	7.647	2.02	1.935
Lips Eggplant Sweat Emojis	Serenade_EXE	10.892	15.776	10.616	23.88	34.637	21.477	36.406	5.17	5.834	12.386	22.913	1.848	5.776	30.247	5.314	3.404	2.174	4.403	1.786	4.508	7.843	0	0.826
-	thelonewolf190694	10.872	11.133	12.553	27.04	36.547	28.214	42.689	0	7.276	0	22.999	1.097	5.495	35.925	5.647	0	0	0	0	6.706	13.983	0	0
The Dabblers	LorentAlina	9.195	17.275	9.919	27.72	38.6	26.135	41.598	0.434	7.799	2.358	24.27	2.823	0	21.245	2.762	0	0	1.429	0	0.937	4.31	0	0
LISC	gguibon	8.808	15.156	10.137	28.53	38.806	26.177	43.881	0.538	5.825	5.128	10.526	0.435	1.058	30.698	0	0	0	0	2.02	0.474	1.794	0	0
-	jogonba2	7.991	17.805	9.849	29.99	39.388	26.43	50.905	0	2.974	9.281	4.334	0.439	0	16.236	0	0	0	0	0	0	1.843	0	0
-	hjpwhu	3.896	7.457	6.805	13.81	60.373	0.141	0	0	0	0	0	0	1.081	9.49	0.398	0	0	0.772	1.297	0.477	0	0	0
