Team	User	F1	Precision	Recall	Accuracy	  ❤️	😍	😂	💕	🔥	😊	😎	✨	💙	😘	📷	🇺🇸	☀	💜	😉	💯	😁	🎄	📸	😜
TueOslo	cagri	35.991	36.551	36.222	47.094	87.815	37.54	47.059	26.859	55.444	16.201	22.566	35.365	22.023	19.593	38.267	64.516	63.68	16.009	12.221	29.154	10.074	73.587	33.101	8.747
NTUA-SLP	cbaziotis	35.361	34.534	37.996	44.744	83.325	33.198	41.728	25.015	54.312	14.207	21.821	36.201	23.966	22.167	36.584	64.019	59.724	17.089	12.965	28.102	14.302	72.566	36.915	9.018
-	hgsgnlp	34.018	34.997	33.572	45.548	85.351	35.581	45.774	24.52	53.316	12.812	19.984	32.288	20.539	16.938	32.552	61.301	58.973	14.286	12.138	26.723	11.956	68.487	38.428	8.411
Liu Man	liu_man	33.665	39.426	33.695	47.464	87.226	36.831	44.24	26.894	54.065	13.653	20.704	30.766	20.812	19.477	36.812	64.745	62.609	12.216	7.855	26.521	4.627	73.592	26.462	3.186
-	lanman	33.354	35.168	33.108	46.296	83.097	37.795	46.747	23.382	53.881	13.616	21.353	33.373	20.91	16.325	31.689	63.221	61.418	13.953	9.3	27.289	9.616	68.197	25.948	5.972
Hopper	derpferd	31.834	39.803	31.365	45.732	86.51	35.001	42.415	26.365	50.745	12.947	18.867	29.61	16.76	16.603	34.445	61.215	58.983	10.732	4.493	24.198	6.216	71.731	26.398	2.444
THU_NGN	ChuhanWu	30.25	31.852	29.806	42.182	81.191	33.127	41.022	20.736	48.513	10.952	17.224	28.309	17.628	15.08	23.677	61.954	58.215	13.268	8.156	24.088	7.076	66.667	23.465	4.657
U+1F485	kennywlino	30.125	29.905	33.016	38.09	76.211	23.827	34.776	19.103	49.757	10.219	16.867	30.276	19.811	15.723	30.804	57.736	47.739	12.784	10.697	26.923	10.889	67.645	31.99	8.725
EmojiIt	Shi	29.502	35.17	29.91	39.214	49.574	31.856	45.552	7.971	55.462	10.439	19.806	29.409	15.98	11.379	40.021	64.012	42.23	13.722	11.759	28.838	9.763	69.056	30.084	3.133
U+1F485	anbasile	29.426	30.637	29.583	40.928	78.216	31.776	38.998	23.296	45.138	11.718	17.15	26.075	15.556	15.104	35.532	56.103	55.518	9.218	10.361	21.968	4.464	64.747	23.319	4.269
Reborn	linsenGUO	29.237	33.674	28.943	42.434	63.209	32.083	44.909	11.315	51.185	11.354	18.762	29.138	16.815	13.029	18.405	63.847	46.382	14.804	9.293	26.532	9.365	71.711	26.895	5.707
freeze	wwmmqq	29.127	31.539	29.234	37.142	47.814	29.985	43.862	9.884	52.494	12.259	17.135	28.406	16.963	11.53	38.442	63.215	41.405	13.506	11.429	27.717	9.727	68.185	32.493	6.09
-	csy	28.929	31.123	28.995	36.852	47.872	29.559	42.817	11.023	52.156	10.475	16.773	29.274	16.117	10.655	36.671	62.51	40.39	13.701	10.968	27.437	10.533	67.412	35.636	6.609
Nova	wangsh	27.891	28.49	28.196	34.83	45.85	27.718	42.939	13.299	51.883	10.412	16.917	26.035	14.906	11.012	35.352	60.588	37.757	13.729	8.312	25.064	8.308	66.647	34.558	6.534
Sheffield	f00barin	27.181	28.573	26.611	37.686	82.416	26.687	32.09	18.868	38.367	10.323	14.831	24.19	13.493	10.771	26.972	53.247	57.363	10.435	6.863	17.862	6.013	58.464	28.969	5.403
HPCC-YNU	sherlock_1412	26.892	26.968	29.708	32.53	36.821	27.313	42.442	15.961	53.061	9.813	16.713	30.538	17.742	16.265	28.442	55.374	36.775	10.305	9.875	23.802	11.902	66.874	21.728	6.088
-	mboyanov	26.768	32.818	27.422	36.794	47.629	28.106	42.398	7.527	50.734	11.453	17.337	26.984	14.704	12.706	38.761	59.882	39.596	8.039	8.825	25.099	3.733	67.131	23.421	1.292
kaka manData	Deffro	26.594	29.995	26.974	36.344	47.235	29.061	44.027	10.719	51.391	7.766	17.192	27.015	15.3	8.415	37.462	59.763	38.105	10.779	6.003	24.277	8.64	67.132	18.124	3.473
Duluth UROP	shuning	26.589	27.184	27.869	33.796	44.061	28.581	42.173	15.94	49.847	11.536	14.599	27.258	15.841	13.17	30.429	53.321	33.809	10.672	10.903	26.759	8.042	63.133	27.712	3.989
-	NAVEEN.J.R	26.451	31.619	26.874	41.18	80.397	32.667	39.163	23.947	44.62	11.744	15.848	23.292	12.607	14.988	38.015	41.159	51.014	1.921	4.202	14.954	2.062	61.919	14.507	0
-	Zhenduo	25.991	33.01	26.705	40.998	85.419	29.64	37.073	20.949	42.401	11.639	16.327	21.567	12.337	13.746	22.123	52.91	48.545	0	1.124	16.066	0	68.897	18.856	0.198
THU_HCSI	liangxh16	25.829	32.377	25.903	35.336	46.959	28.096	40.98	9.64	49.801	10.105	12.891	26.833	8.982	10.269	33.494	55.057	37.638	7.395	10.291	23.361	4.384	65.081	31.131	4.194
Peperomia	AmyJing	25.678	28.982	26.04	35.338	47.612	29.026	41.604	7.351	49.693	11.057	17.559	28.102	14.576	12.024	23.589	59.943	37.167	9.904	6.947	24.42	4.84	65.04	18.796	4.314
MMU School of Computing, Mathematics and Digital Technology	mattshardlow	24.982	28.939	25.04	34.588	45.182	26.649	39.958	6.945	48.211	7.357	15.876	21.88	10.082	6.621	31.112	56.445	36.209	10.375	7.866	23.789	7.505	65.515	27.106	4.954
PickleTeam!	simondewit	22.855	26.165	24.374	34.092	45.348	26.576	40.646	8.223	46.932	7.982	14.139	23.789	11.643	6.136	17.853	56.48	34.864	9.496	3.609	19.512	6.128	60.265	15.774	1.701
NoEmotionsAttached	didizlatkova	22.518	23.735	22.26	33.318	59.445	24.207	34.742	11.479	41.167	7.866	11.851	21.426	11.407	7.539	18.979	51.023	30.745	8.473	6.39	17.515	6.699	52.907	20.601	5.902
Reborn	Somethingx64	21.971	26.524	22.059	30.64	42.428	22.455	34.019	8.602	36.675	9.138	11.98	19.679	6.848	6.301	35.952	51.137	32.04	6.095	6.606	20.779	6.204	59.982	18.575	3.935
PALM_gzy	guolinsen	21.971	26.524	22.059	30.64	42.428	22.455	34.019	8.602	36.675	9.138	11.98	19.679	6.848	6.301	35.952	51.137	32.04	6.095	6.606	20.779	6.204	59.982	18.575	3.935
#TeamINF	alisonribeiro17	21.497	26.208	20.843	31.588	43.287	24.74	36.694	7.363	43.543	6.452	13.118	19.2	8.763	5.684	24.111	47.977	33.384	6.108	4.348	18.648	5.439	60.131	18.306	2.651
Hatching Chick	reinardvandalen	21.438	25.965	21.483	36.522	57.29	26.796	37.755	7.931	41.762	7.11	12.034	16.7	9.122	5.9	14.359	52.366	33.295	5.459	5.472	12.513	3.254	57.807	19.568	2.26
