text	label
as i mention above , science curriculum follow path . one ' s worldview play heavily on one ' s interpretation of scientific data . an agnostic , or atheist teach establishment can become satisfied with one path of scientific theory without search for others . there may be more to be discover about thermodynamics , cell structure , irreducible complexity , the decay rate of the earth ' s magnetic field , radiometric dating , the fossil record , and countless other thing that a teaching establishment may not be interested in explore , if it ' s comfortable with it ' s interpretation of current data ' s indication that the happenstance origins worldview be correct . it go back to what we touch on before - teaching student how to think , not what to think .	0
be you try to make a point here ? or be you just spew forth your hoplophobic tendency because you be get nothing well to do ? one of the problem with school child be that it ' s become a crime to discipline them the way our parent be discipline . there ' s no spanking , corner time , or sit on a chair with a dunce cap , because that ' s all be label as abuse to emotional development . instead we have counsel and the administration of powerful prescription drug to kid who can barely read . kid be spoil rotten and leave unsupervised with tv show and video game that glorify violence and murder people for fun . parent be stuck work two or more job just to make enough money for bill so they do not wind up on the street . we need massive reform . we get ta go back to how kid be raise in the 5 0 s .	0
i see . so the bible be true because you claim it be true .	1
and yet quantum physic tends to be very contradictory , at least to our perception . acausal event happen . a particle can be in two place at the same time . a particle can disappear and reappear in a different location without traverse that distance . and et cetera . since the beginning of our local universe occur at quantum level , i would be cautious about draw philosophical conclusion base on our macro - world experience .	0
why do people on the pro - gun side continuously try to oversimplify the issue ? no one be really argue that there would be zero murder without gun . the question be would there be less murder without gun . in developed nation with stricter gun law there be less murder . at any rate , i do not think you can draw such conclusion base on one incident .	0
actually it wasn ' t sit somewhere since there be no `` where `` to `` sit `` and `` always `` and `` eternity `` have no meaning outside of time and no `` time `` exist prior to the `` big bang `` , maybe .	0
all sin undermines society , include illicit gay sex sin . or have you forget sodom and gomorrah ? come to a san francisco bath house near you .	1
i be not go to go into what be wrong with the idea of god without know it be what we mean we speak the word . excuse me if i be mistake , but it seem that you be get defensive on your belief before i even begin a debate . i be simply look for any one wishing to participate on the nature / existance of god . if you find my question to be complete nonsense and that i be only here to critize theism than you need not participate . thebootfitter ,	1
so will they be in front of or behind a leaf ?	1
if i ever see arch defend a position at evc i will eat my hat and the hat of my fiance , too .	1
you do not beleive that it be possible to do something wrong to prevent a large number of wrong in the future ? do you think the end can ever justify the mean ?	0
if black be offer a bus ride , why do it matter where they sit while they be on the bus ? they get all the same benefit . what ' s the beef . except that you can not say that you be at the `` front of the bus `` ?	1
to the extent that work toward social change on any moralistic issue be an ' imposition ' , sure . but i think one could say that about anything that have a social effect .	0
i think that comrade brian be pull our collective leg by pretend to be a die - hard , uninformed , live - in - denial communist , when in fact he ' s a just another guy try to have a laugh by troll the board . i truly find it hard to believe that anyone could be so completely uninformed about capitalism and socialism .	1
and , i be sure you ask yourself that very question before you unzip your fly and whip out your pecker , right ?	1
the question still remain as to whether this be negative intrusion ( which be what the libertarian want ) or positive intrusion ( what the libertarian do not want . ) anyone with half a brain can know that it ' s intrusion . the matter becomes complicate when one try to place it in the category of anti - murder law or theocratic force religion law .	0
and she would have be good by abort the baby ? that make no sense . instead of see your baby die naturally you would rather not look and kill it yourself . the same person die no matter how you look at it .	1
oh no . the main disagreement between theistic evolutionist and fundmentalists be that fundies be not worship god , but a false idol of their own making .	1
you should refrain from call others arrogant mr . kettle .	1
no , back to school . turn in what educational credntials you feel you have , and just stay at the coffeehouse . at least you have a . 005 % of hear someone ineject some truth in one of those sidewalk tete a ' tete ' s you nutter be so fond of . but here you be dead wrong . have you ever hear of an egg ? ever heard of a sperm ? an egg be still consider a multiple cell organism , and a sperm as well . you be gon na have a hard time pull that one off .	1
