text	label
in fact , i make it clear that i be provide good inequality than you do . yeah . catch that . but , hey . i think you make a mistake .	1
i too believe that abortion be murder , however a ) bomb a clinic involve the chance of kill other people - what about the postman deliver a package to the clinic . b ) there be , in these case i believe , other mean of ' protest ' c ) if you do protest you should also be willing to support woman who choose not to have an abortion . responsibility on this issue go much deep . but you say that you saw stand aside whilst someone murder another be cowardly ? : : sigh : : let me simplify for you . do you kill someone to prevent a murder ?	1
even with the supreme court ruling , sinjin and chet have say otherwise . on the day this be post ! be they assign the ultimate task of interpret the constitution and determine which law violate it ? if not then their opinion do not matter .	0
3 . the scientific effect involve be always at the very limit of detection . well , in the sense that we can not actually detect the intelligent design behe proposes , then it it outside the limit of actual detection .	0
you do not answer my question . toe say all structure evolve by small , random modification . surely , then you be not say that whole structure such as foot form complete . that would be a contradiction now would not it . so answer my question : what about the foot ? which foot come first ? there be more to foot and other body part besides bone . muscle , tendon , toenail . do all these evolve at the same time from the same mutation ? . if not , in which order ? as i recall the order of foot be leave front foot , right hind foot , leave hind foot , and finally right front foot . do that make you happy . oh yes the gene involve be know as peds and number in order 1 - 4 . ped1 and ped4 be mirror image of each other ( obtain by a process know as reflective copy ) and ped2 and ped3 be much the same . this be of course entirely logical and could have be direct or random . the first critter to bear such foot be know as the ftse not to be confuse with the index . its predecessor be of course the gimpy series since they have 1,2 , or 3 foot and have to hobble along with what they have . ftse - 1 be sometimes know as pogo because of its odd ' gait ' .	0
i know of no one that be pro life believe the mother should die so the baby can live . apparently you think i be claim that pro - lifer think that the baby ' s life be more valuable than the mother ' s life . so i clarified :	0
sorry to burst your bubble , but non - gene inheritance be non - materiastic inheritance , which absolutely do contradict toe . ( how exactly do it happen that thought or awareness generate a new physical trait and then pass it down ? ) and never have it be proven that any spontaneous , randomly - occur mutation have ever create a beneficial , selectable morphological novelty , so ultimately , it ' s your materialist theory that have no evidence . i have evidence , you do not . honk ! wrong . my parent inherit a house from their parent . they also inherit knowledge and be teach certain value . concept store in one brain , express via word and encode in a new brain . epigenetic inheritance , yet still materialistic . do not mean they do not also inherit a bunch of gene , and for the umpteenth time it do not mean they get to screw their face up like hiro and tweak them whenever they like . should not i be ask you that , since that ' s what you say happens , despite have exactly zero evidence to back it up ? honk ! what a great big fat juicy lie , s . do not put it in the keep net though ; toss it back so you can use it again later .	1
2 ) reptile develop wing . these thing be completely useless on a dino , they evolve right the hell away . why would they be useless ? they be not useless on bird ? and how be this qustion different in any meaningful way from the above ? be not wing forelimbs with feather ? it seem that soar or glide or even faster run would be extremely useful .	0
the procedure be neither in the public interest nor that of the patient ' s . it ' s legal coercion inspire by religion . when my son be bear i be `` require `` to listen to a 15 minute lecture on why circumcision be now a bad thing before i could have my son cut . i find it offensive since the lecture have nothing to do with medicine . why should you mutilate your son ? maybe you should have listen	1
want to bet how fast a creationist here be go to try change the subject ? within one post . thanks for prove that creationist be incapable of discuss the original topic and automatically move to change the subject .	1
here in new hampshire , not know as a bastion of liberalism , civil union pass the state legislature this year . i be now cover under my partner ' s state sponsor ( he ' s a state worker ) health insurance . we be grateful . and this be a terrific breakthrough . my partner and i be coveered by my company ' s health insurance , and the state of connecticut honor our civil union . that be say , i still have to pay tax on my partner ' s health insurance as imputed income because the federal government refuse to acknowledge our union . so it have to be marriage . full and without exception . civil union be not enough when we be treat differently under the law .	0
actually there be a good solution . mandatory male and female birth control pill , financial penalty if you stop take . anyone who would get off the pill would want a kid , therefore , abortion would cease . so we would penalize financially those who want to have kid ?	0
do local civilian firearm regulation apply to soldier on military base ? can soldier bring their private firearm on base ? i think not . no its federal property and fall under ar190 - 11 and other applicable regulation . if they live off post i believe so if they follow policy and regulation . if they live on post then the pow must be store in unit arm room and only draw out with the commander ' s permission .	0
x as folk all the way . too bad it have end sad i love the show boston common when it be on . star trek ng be the best show for a whlie . i would have to say that the only show that be still on that we really love be 2 1 / 2 men that show be pretty funny and have good writting . [ quote = matthew s ] x as folk all the way . too bad it have end sad i love the show boston common when it be on . quote ] qaf be awsome . the l word be good too , but it seem to have a high turnover in it ' s cast . boston common be wonderful . the guy from yes , dear be in it and he be so funny .	0
see the comment section on the blog entry i link to , particuarly stuart ' s own comment . `` yes , you register online , but the initial invitation be by invite only . you register who be come in your invited group , not just “ first come , first serve . ” there ' s a lot of discussion there on that issue . but it really do not matter - - a private screening of a film be a private screening - - they can boot anyone out that they want . i do not say anything about anyone ' break the law . ' i be just show you a different perspective of the event from a witness - - you know , give you more information from which to draw conclusion . or do you only want your information limit to one version of the story , mainly from the account of the one who get boot ? i think it be simply a private screening , and the people run the private screening do not want them there . that ' s their prerogative , as it be obviously a private screening and that ' s the way it work . again , read the comment on the blog i link to as they include comment from people who be there , include more from stuart and at least one by pz myers himself . hey , as collin say , p.z . register , and get it . i would say that boot him out be the height of hypocrisy . it confirm to be that it be base on a lie , and the producer know it . the movie be make a claim that the ' opposition ' be silence i.d . , and the presentation of alternate idea . yet , what do they do ? they kick someone out they interview for the movie ( base on false pretense to be sure , but they do pay him for appear in the movie ) . that sound that they be the one try to suppress oppose idea , not science . yes , they have the legal right . but , boy do it put egg on their face , consider everything . it show them to be hypocrite and liar .	0
funny that all proponent of abortion for unwanted pregnancy talk about abortion as if be a political statement : i control my body . funny that they never think that the reason most woman need an abortion be because they could not control their leg and keep them cross . they can not control their lust , so much for body control . emoticonxrolleyes which , we suppose , in your mind release the sperm donor of any responsibility whatsoever , right ? be not it interest that your solution for the abortion issue demand that woman deny their sexuality while permit men to run the gamut of theirs . do this attitude , of which you be not the only proponent , stem from a hatred or a fear of woman ?	0
when we demean the holocaust , and the symbol support it , we begin to erase those lesson . so you be say we should try and forget about it ? learn about the holocaust be great , and as horrible as it sound it be probably for the good that it happen . why do i say this ? well if it have not happen then it would have happen eventually ( almost everyone hated jew , black and homosexual at the time ) , and it happen teach us a valuable lesson . it ' s horrible to look at it like that ; but it be quite true , whether you think so or not . we need thing like this to happen in order to grow and develop and mature as a specie . wow , i do not understand how this keep happen . i will try to switch mouse .	1
no no no . the concept that these three reference be all ' god ' come later . it be not implicit in the bible unless you assume it be in the bible . if they be use in reference to god , then how can you possibly say they do not refer to god ? jesus himself say he he and his father be one , in john 10:30 . and the three appear together numerous time in parallel grammatical construction , denote equality . it ' s a harder argument to make that the three be not god and that any one be less than the other in term of divinity , than to say they be god .	0
well , since we do not have to treat people equally , i see nothing wrong with make all people age 14 - 16 slave . ( i doubt anyone will be against this anyway . ) but moreover , since we be not equal , we can make woman have pregnancy and disallow abortion . right ? now obviously i think everyone be equal . personally i do not see someone that make 1 million a year any different then someone that be homeless . i guess this explain the devaluing of like though sad that do not suprise me . again i be not surprised that your first reaction to the idea that people be not equal would be to enslave some and that your second idea would be to subjegate woman . this reveal way too much about your nature . it ain ' t pretty . try live homeless for a year then get back to me on whether you saw yourself as equal to someone on ' 1 million a year ' emoticonxrolleyes now if the ' 1 million a year ' person give the homeless person 1 / 2 million a year , then they would be equal , because equality be at the entre of such socialist ideal .	1
