text	label
about it and i called my mom at lunch but she kept saying hello ? so i gave my phone to my friend to talk for me bc i could not speak	0
about to become a comedian so i can speak what ' s on my mind and not get un trouble for it cause i am a comedian !	0
about to hear robert shiller speak at my school so that ' s pretty awesome .	0
about to listen to for a third time  happy  i think it ' s the best i have heard so far . it ' s the best i have ever heard anyone speak .	0
about to listen to speak ! his books have for so long inspired me   this is why     smart is cool     inbound 14  	0
a boy being able to speak another language is so attractive	0
: face savoring food : : two hearts : absolutely beautiful ! and so lovely , spoken and seen you a few times but should definitely try to speak a bit more or something x	0
absolutely love how you do not speak in person but are so quick to text me with some " i miss you " : smirking face :	0
absolutely   not   sastified with the so called manager who rang . need to speak to a uk based   staff     fed up  	0
acceptable cone ?	0
aces . i will speak to p . thinking about going away for chrissy , so may need to save up but one night will not hurt x	0
- a city center to pick up supplies . { i play joust with rhys as i speak } so , here i am , lumbering through -	0
' actions have reactions so do not be quick to judge , you may not know the hardships people do not speak of '	0
action speak audible than words you know akr so i rather gesture than ke bue now and not be able to convince you bua pele	0
action speak louder then wrds so i just need to prove her wrong : smirking face : : smirking face : : smirking face :	0
actions show who someone really is , words just show who they want to be so speak to me with your actions	0
actions speak louder than words . but every girl loves to be sweet talked . so makes that a mixed msg ! haha	0
actions speak louder than words so always listen to what people are telling you with your eyes rather than your ears .	0
actions speak louder than words so i do not have to know u not to like u .	0
actions speak louder than words so i refuse to be fooled by something that sounds so good when i never see a follow up	0
actions speak louder than words , so just know your words are dirt to me until you prove it to me	0
actions speak louder than words , so sometimes you just have to believe what you see & forget what you hear	0
actions speak so much louder .   but i am the one who needs to put in effort .     you got me f   '   ed up  	0
  actions will always speak to me so stfu w the bullshit   : victory hand : ️	0
  act so differently he never used to speak to me the way he spoke to others and then last november i found out   +	0
addition . you clearly do not know much about what you are trying to speak on so like i said .   leave it sis   .	0
: person getting massage : - a do not even know haha ! used to be so close but things are fucked . gorgeous and amazing personality but things have changed . dnt speak x	0
after my niece told her brother to speak english , he continued speaking spanish lmao why is that so funny to me ?	0
a girl be so quick to tell you how wrong you did her but never speak up on how good you treated her	0
a girl had her hair down on the team we lost to tonight so no one is permitted to speak to me for at least 72 hours .	0
a great   ted   talk on " how to speak so that people want to listen " . learn to command a room or speak with empathy :	0
agreed . theres a bigger point in there that scientists must respect philosophy tho as it is homebase so - to - speak	0
agree ! so many entry levels sit paralyzed to speak , but millennials are the ones developing new trends   speak up     millennial chat  	0
ahaha aww  happy  how / where did you learn to speak english so well ?	0
ahaha it ' s so cute and funny when my mom tries to talk to someone that obviously does not speak spanish	0
ahaha omg it ' s so funny when you find out funny as fuck stuff about people you used to speak to	0
ah doug , you leave the door open to so many jokes but my canadian politeness will not allow me to speak  happy 	0
ahh .   i can not do tomorrow now ! ill be in in half an hr so speak to you then if you are there xx	0
ah ? [ his head tilted ever - so slightly as he continued to speak . ] how so ?	0
ah im so envious of you im chinese and i go to a chinese sch so i dont hv friends who can speak malay sarawak	0
ah , i speak dutch so i understand some words . but were is austria , is it near to germany ?	0
ah i understand , though . i am just as embarrassed trying to speak french or spanish because i am so bad at those	0
ah well will see in the morning lol i am off to bed so will speak to you on the morning : grinning face :	0
great to see speak in the very room where so many called for his release   hrc 27     bahrain  	0
great to see you anita , so glad you got a chance to speak with everyone too - see you in october if not before !	0
great to see you guys , thank you so much for coming ! speak soon !	0
great to speak today ; thx for being so engaged with the idea of   resilience   &   business performance   ; lovely to meet you all !	0
great video - how to speak so people will listen .	0
greens only ones to speak up so far .	0
