text	label
be it yet . ready for the weekend	0
dear girl , if a guy pause a video game just to text u back . marry him sarcasm	1
porzingis be like another freaking	0
nigga funny u talk bout a thief boy get u some money	0
user black and brown ppl be be stalk by white make america great again and she want to talk abt the internet ! gtfoh	0
first thing to do upon wake up in the morning : watch vlogs from my fave youtubers . user . bestfeelingever .	0
do not ask me again `` be my favorite computer button that i wish be also a real life button . sarcasm	1
war do not determine who be right - only who be leave . sarcasm	1
i find it weird that my advisor , upperclassmen , and my other professor have no idea who my chemistry professor be . comfort not sarcasm	1
i whisper `` what the fuck `` to myself at least 20 time a day sarcasm	1
work in the be . oh the joy of go to see my coworkers sarcastic tweet sarcasm	1
we be host our give thanks event out on the user plaza . visit our booth to show your gratitude !	0
i decide to greet my coworkers with a `` congrats on not die in your sleep `` instead of the usual `` good morning `` sarcasm	1
you know you be hopeless when you ask a blind girl out , and she reply `` no , i be see someone else . `` sarcasm	1
insanity workout ? the fact i be even consider put down my phone and get off the couch be crazy enough , thanks . sarcasm	1
user when you tweet something that actually make sense i do a double take and reboot my device , more rare then an alien attack sarcasm	1
parent raise the best liar . sarcasm	1
such a good thing to have on ur phone . push the button when u feel unsafe and when u let it go if u dont enter ur pin they call the cop ! sarcasm	1
my friday be 9 - 5 strictly class next semester . just like they be this semester woo sarcasm	1
omg i only shave one leg sarcasm	1
sit at the no fun get injection sarcasm	1
teacher : `` here ' s a worksheet . oh and it ' s double side . `` me : `` i hope you die a painful death . `` sarcasm	1
guess i will study art appreciation some more & write my ethic paper ! oh how fun ! sarcasm	1
nicki minaj be a judge on american idol be like taylor swift give relationship advice . sarcasm	1
its so unfair when you love sing but you ' t bear with a good voice : downcast face with sweat : sarcasm	1
imagine all extra dry - up booger the ford people will find compare to the lazy folk at nissan !	0
ah only 2 full year to wait until i can start college , not long at all ! sarcasm	1
i will never forget the day when she say yes to me because that be the last time we agree on anything . sarcasm	1
smile . it might not make our problem disappear , but it will stop people from ask what ' s wrong with us . sarcasm	1
person : how be you ? me : i literally have no idea sarcasm	1
stupid android phone - . - '	0
user what ' s wrong with you people ? what ' s so attractive about a fat , sweaty man with one leg and pubes for hair ? ! sarcasm	1
we be just drink wash flow happy don t judge	0
