text	label
i am incredibly annoyed that i am gonna have to sit through lunch during 4 th and 5 th this year . i ' ll probably just stay in class and be a nerd	0
so i have no idea what i did w it h my pay stub which means i either lost it or tossed it in the garbage . time to watch my bank account - -	0
dude u were 3 hrs late , do somn abt botho f yall rt " @ 3 ple   jay   user & his inability to keep to time ? even wen i was 3 hours late ! "	0
as long as we have memories , yesterday remains . as long as we have hopes , tomorrow awa it s . as long as we have friendship , it ' s never a waste "	0
trying to find that one song to fall asleep to on pandora  happy  time for bed have to wake up in a few hours for work . then toby keith sunday !	0
impressed w it h stockholm airport . took my much too heavy first bag ( no extra cost ) & my bike box ( no extra cost ) . see if it gets to ireland	0
do not care about what other people think of you . there will always be those people who want to see you fail because they can not succed .  	0
wanna know how i know you r gay ?   because when the truth got out about you it got you hot . oops my bad yall know dam well   idgaf     sarcasm  	0
goodnight mama . i love you & miss you so much . i wish you were here , but i am staying strong for you . sweet dreams , see you soon .	0
this ! (  heart  ) rt user : i have learned to seek my happiness by limiting my desires , rather than attempting to satisfy them	0
i must go like a page for me to look like ise a batty lord , just for one girl idk to get hair ? vell chap my leg off and call me shorty	0
user tho rt user man , remember when everyone was all " im doing insanity " and after about two we eks we aint heard shit back from them ?	0
i t ' s crazy how few people use facebook , people used to have hundreds say happy birthday to them now i usually just see 20 at the most .  	0
user we llertse i dunno yet , trying to get a rough idea of numbers before we book stuff but so far you are the only one that ' s replied : /	0
* 3 people sitting out front of the school * dad : there ' s a lot of kids in the morning . me : yeah , more than the population of africa !   sarcasm  	0
guess i ll just get up & make myself a glass of tea . gosh do i have to do everything for myself ? !   * rolls eyes * calm down judgementals   sarcasm  	0
do not be so formal because i am much older you think it ' s not nice to ask me help .   pls do tell me so i will not be feeling much guilt .	0
busy night in work .   she esh ! bed now then to our babyk ! ( got ta stop callin her that .   she starts school next week ! )  sad    happy birthday  	0
yay   avicii u haz a new song  heart    omg i   can not wa it for it to be remixed ! vocals added ! sped up ! slowed down ! backwards ! poloed !   sarcasm  	0
" you th i nk i am shit . well , you are wrong . cause i am champagne . and you are shit . and till the day you die , you , not me , will always be shit . "	0
* standing in front of the door , hair wet and in a towel * " did you just shower ? !   0 . o " " no , i just took a shit - - "   lmao     sarcasm  	0
missing my long hair : loudly crying face : : loudly crying face :	0
i love the fallout boys ! there a awesome pop band ! lol ! ( i am a child )	0
rt they say girls have all the tensions in the world i say they have never seen a son turn into a father .   sarcasm  	1
me : i am just going to rest my eyes for 5 minutes me : wakes up may 22 , 2098   sarcasm  	1
do not you hate it when you offer food and the other person says yes   sarcasm  	1
in a shocking upset it rained today at grove city college   sarcasm  	1
slimthick with yo cute ass , ayy .   i might buy you a new bag !	0
after working 9 hours in the rain everyday sometimes all i wanna do is cuddle and have my hair played with     sarcasm  	1
what long bus rides to harber consist of : face with tears of joy :	0
me : hey . in my mind : omg did i really just send that , what if i am annoying them , i really should stop , they hate me , omg i am so embarrassed   sarcasm  	1
trust is the most important thing in any relationship . without 100 % trust in a woman how do you know she will not tell your wife .	0
health and safety just rocked up !   not     happy     dog     sm ddevelopments     sarcasm  	1
  not   guilty of trying to kill police officer - new zealand herald   sarcasm  	1
i love   question time   , seeing some of the straw man arguments some of the panel members make is a good laugh .   sarcasm  	1
facebook is like a fridge . when you are bored you keep opening and closing it every few minutes to see if there ' s anything good in it .   sarcasm  	1
looking forward to an amazing education day this friday ! dress for the weather . ( last year there was deepish	0
survey :   thanksgiving   dinner remains a bargain ;  money  / serving for a family of 10   turkey  	0
* stops a sneeze with my shirt sleeve * the teens love to do this   sarcasm  	1
just realized i only shaved one leg and forgot to do the other : expressionless face :   sarcasm  	1
mum ' s little helpers   pups     not     really     helping     sarcasm  	1
girla   your a cold bitch tho : face with tears of joy : : face with tears of joy : you ran out on your   responsibilities   . but i can honestly say i am not shocked at all i knew it	0
user pisses me off   artists   want creative freedom   but     not   in   real   life !   sarcasm  	1
user does not the fact that brent is now a successful artist ruin the joke ? he ' s had the last laugh .	0
i agree , but i am willing to reserve judgement until the end of the year when i have seen him -	0
user good luck this weekend ! you suck bc i am currently in physics and you are not : weary face :   sarcasm  	1
im going to bed im excited to see michael ' s tweets + the boys ' tweets to michael for his bday   when   i wake up goodnight   sarcasm  	1
will you date me ? breathe if yes , swim across the atlantic ocean while reciting the bible in japanese if no   sarcasm  	1
when i see someone walking more than one dog i always think , " wow , that person must be   really   blind . "   sarcasm  	1
me : [ lives in scotland also me : [ is shocked and appalled when it ' s cold and / or raining	0
john terry - chelsea never doubted costa .   football     epl  	0
hey if we are friends and u need something to do tonight hmu	0
9 out of 10 doctors will agree that 1 out of 10 doctors is an idiot .   sarcasm  	1
rt you know your damn role and shut your damn mouth - the rock   sarcasm  	1
if you ever want someone to see two sides of an argument , call your closest   cancer   . they love being just and fair .   sarcasm  	1
i am so excited to wake up tomorrow & drink my smoothie   sarcasm  	1
good morning everyone ! have a great start of the week   who     does     not     like     mondays   : squinting face with tongue :   sarcasm  	1
* still uses a pinky promise as a legitimate foundation of trust *   sarcasm  	1
true friends are like diamonds , precious and rare . false friends are like leaves , found everywhere .	0
could not be more proud of the effort left on the field tonight ! thank you players , cheerleaders , parents and students for tonight .	0
woman says cops ' murdered ' brother in tussle after breaking into home without warrant	0
oh i am glad my insurance company really supports their members : pouting face :   not     sarcasm  	1
these royalty - free photos . i am entranced .	0
last day of migration = last day of weekend work ! i am gonna miss the adrenalin rush this project brings ! congrats to errone , well done guys	0
i see 2007 and think " oh 3 years ago " and then it hits me that it was 6 years ago o . o   sarcasm  	1
happy birthday elisepoilpre   sorority life     not     sarcasm  	1
a man wrote 100 love letters for strangers to honour his wife a year after she died .	0
i am looking forward to seeing you tomorrow ! just finished our dress rehearsal here at   cecil sharp house   for	0
drunk user is the best user .   text messages on point     not   : face with tears of joy :   love you       sarcasm  	1
user user user then she crawled back under her rock .   sarcasm  	1
when your bestfriend is not going to class so you either	0
user now we have songs speeding up at random ? good job .   vevo chipmunks     fail  	0
calculating how much gas money it ' d cost me to drive from here to ca and it ' s about 450 one way sigh	0
user user some people would give their right arm to work in a carbon fibre factory . can not believe he gave that up  wink 	0
predicting the words " ranch dressing " will appear somewhere in my autopsy findings .   sarcasm  	1
i see andrew has two tories on the sofa tonight on user even though one is a lab mp !   sarcasm  	1
* hiding under blanket for hours * mom : what are you doing me : avoiding mom : avoiding what me : everything   sarcasm  	1
fantastic feeling to be crowned champions , to make history as the first   dpmm fc   to do us & share d moment with my kids	0
rt congratulations ! by pressing the elevator button 3 times u ve forced it to come in hurry mode !   sarcasm  	1
if i show you a picture on my phone , do not swipe left , do not swipe right . just look .   sarcasm  	1
sobrang nkakaproud ang mga sumuporta this side salute u guys .   we that were all busy but we still give our best .     showtime u ltimate ki lig  	0
there are people you have not met yet who will love you and the thought of that just makes me happy .   sarcasm  	1
sorry to change my handle , but   i could   not resist .   evil regal     lana is literal queen  	0
user you rock ! i am so out of it . i never pay attention .	0
i just love being ignored  wink    not     sarcasm  	1
literally made myself laugh for 10 minutes thinking about how much of a fake bitch you are : loudly crying face : : loudly crying face : : loudly crying face : : weary face : : weary face :   not even part of our group     sarcasm  	1
the amount of sex you need to have to keep your relationship happy	0
user do not even have to read the whole article to realize that the only good porn is the ones with good looking women ! the rest suck !   sarcasm  	1
  repost   user with user . ・ ・ ・ hancuss   diett ak !   on diet     fat     late dinner     burger ak     20112015  	0
user , are you going to rt the less flattering reviews of   life on the road   , i have not seen it yet , but i wanna be angry about it .   sarcasm  	1
4 hrs sleep and i am up & raring to go   not   : sleeping face : : face screaming in fear : : sleeping face :   sarcasm  	1
user sanders needs pain killer because he is weak . he allows dems to cheat him . so why is he lashing out now ?  	0
rt the secret to creativity is knowing how to hide your sources .   sarcasm  	1
i wonder if buzz and woody ever met some of andy ' s mom ' s toys . especially since they probably have the same names   sarcasm  	1
i think it ' s soo cute when girls act dumb on purpose   sarcasm  	1
i am thoroughly fucked up thanks   sarcasm  	1
thank you for brave television , user i love your work .   sarcasm  	1
funny .   from 2014 . look like china accepted challange   challenge accepted   lol	0
white middle aged male at 10:30 on a thursday night in 40 degree weather and pouring rain wow what a great time for a run   sarcasm  	1
inhaling the second hand smoke of the beautiful mary jane , oh its a shame mary , do not think i will ever love you again like i did .	0
user lol .   i am not so bad . i am just determined to enjoy it .	0
i always have the most f ' ed up dreams : flushed face :   sarcasm  	1
user user user hey did u know y it ' s called california ? after queen califia . oh yeah  happy    matriarch mafia     original gold arch  	0
user me praying to pass my driving test on  date 	0
so now like  percent  of our national security database is cat pictures , right ?   sarcasm  	1
have severe   copd   ? learn more about new study available in   clinical trials     lung disease     breathe     help  	0
, i had people say that they cared about me and loved me to only hurt me the most and leave me when times i needed them	0
you are a shark and im swimming	0
user great , now i want ice cream . at least i have this lovely bottle of wine .	0
secret love song by little mix is my fav	0
there is just that smell . the smell of a man . freshly showered and cleaned up . sensory memory stimulated .   pheromones     men  	0
could this get any better ?	0
i am so glad we do not have school !	0
user not disparaging but do all trump surrogates suffer d same illness ? nofactitis , makeitupasugo ? lies = truth ?	0
fav to go on a date to a byu football game tomorrow night	0
user archie poured coffee all over himself and got burnt and finn ate some plastic and puked it all over me . not a fun day !   sarcasm  	1
who needs a boyfriend when you got cherokee to give you butt massages .	0
made a user   target run   w / user during lunch break from building the bank of the future user   sarcasm  	1
user user clinton causing headaches for down - ballot democrats in key states .   she has ruined careers	0
  upper midwest   professional football contest happening rn .   yeah   : american football :   sarcasm  	1
all i want for christmas is you   lol jk i   want an iphone 5 s	0
mood ! happy friday ( cc user )	0
no school tomorrow ! yay	0
user trying this bad boy for tea tonight  happy 	0
i swear you all , i will text you back faster and more often when i get a phone	0
watching the same movie in two classes ? yay   sarcasm  	1
watching miss eau claire tonight made me super excited for the pageant . : crown :	0
rt there are idiots , there are super - idiots , and then there are people who like their own posts . : unamused face :   sarcasm  	1
user user all of the left is a problem mostly why america is broke	0
god will supply us with the opportunity , but it ' s up to us to do something with it .	0
great way to start my morning by failing a statistic quiz !   not   good thing we have 3 drop quizzes   sarcasm  	1
things that make me happy : - you . - lazy weekends . - certain people . - food . - music . - cute texts . - concert tickets . - summer . - you .	0
apparently u dont want to talk to me	0
i hate people who say one thing but actions show another : unamused face :	0
you should write a fucking book on how to destroy a tv show dumb cunts user	0
you say wanna ! , but do you wanna runaway ? a great escape	0
  the     worst     feeling     in     life     is     not     being     lonely     it s   being   forgotten     by     some on     sarcasm  	1
the best way to argue with a neo - con is to ask them very basic questions about their views / algebra " you want to build a wall ? solve for x . "   sarcasm  	1
i so love a good foggy morning .   weather     cemetery     foggy   user user   sarcasm  	1
yay no school for me !	0
my home button is fucked up my lock button is fucked up yet but not least my screen is in a million pieces all thanks to asim bajric   sarcasm  	1
and it ' s 2 . 30am in london . thanks for all the birthday wishes really made my day . take care , sweet dreams and keep on smilin '	0
cracked the front screen of my phone today , good thing is now it matches the back	0
back to playing hockey at user tonight . looking forward to shaking off some rust   roller hockey     been awhile     fat and rusty     can t wait  	0
love being sick : face with medical mask :   not     sarcasm  	1
dear fans , thank you for your strong interest in sadabike , we apologize for the lack of an answer , but you are	0
user destroy another white guy   christine brennan   is an ugly woman . inside and out .   feminists are ugly  	0
  fbi   insider for hillary pushed to have case closed per her leaked email threatening   doj   involvement     election day     sarcasm  	1
user user user user   n obama   ' s supporters lining up awaiting his tampa arrival .     not     sarcasm  	1
user the way people act to look cool nowadays	0
i am   not   a   good     friend   right   now     sarcasm  	1
you know what i love doing ? rehashing old arguments .   sarcasm  	1
stressed * calls mom * happy * calls mom * anxious * calls mom * sad * calls mom * excited * calls mom * annoyed * calls mom * scared * calls mom *   sarcasm  	1
bed rest is honestly such a fucking party . haha .   not     sarcasm  	1
its amazing how much i cant stand edinboro and its professors right now   it s gonna be a good year     sarcasm  	1
women : when it comes to doggy style , men are behind you  percent    sarcasm  	1
you are my kryptonite   ! 3 rt als je dit herkent ( ( ( one direction )	0
user i know we have our arguments , but i do not want to have ' em with anybody else . i love you , jane .	0
happy birthday to my user co - star and good friend user ! have an amazing day !	0
is it too late to try	0
my favorite sex position is 9 . thats me . curled up in my bed . alone . crying .   sarcasm  	1
i will kill you with kindness even if i have to beat the shit out of you .   sarcasm  	1
user user from a mindset of power , to one of using the best ideas from across all parties along the spectrum .	0
one time the fire alarm in my building went off and it was raining   sarcasm  	1
this is so exciting   sarcastic tweet     sarcasm  	1
flo from progressive is a misandrous feminist which is why a company called " progressive : trade mark : " would hire such a nice but threatening woman   sarcasm  	1
appointive the the say - so inhabitation deployment on account of thy suburban cigarette break : bsjpt	0
bummed to hear some " i ' d vote but i am not 1 0 7 ist " . i am proud to be 1 0 7 ist . love to hear from folks on what ' s not working   107 ist board     rctid  	0
think bayern , madrid and barca may forget about the   champions league   this year .   liverpool   have it wrapped up !   yeah right     lucky     sarcasm  	1
  lmfaoo chief keef rethinking his career right now   : face with tears of joy : : loudly crying face : : face with tears of joy :	0
i heard the   legendary   user is gonna be on user in the morning i gotta set my alarm for this one   cant wait     sarcasm  	1
yay for no school tomorrow and snow weather coming our way	0
id hate to be an judge on xfactor this year .   they are all class user to win   x factor  	0
indirect tweets about me are the best feeling ever especially when they are being a bitch ha & post it on every social media ha   idc but u care     sarcasm  	1
i never show soni any appreciation . not even a simple " i love you " but she ' s never doubted her place in my life . she knows she ' s important .	0
rt at any point in life if u feel like people r ignoring u just think about the 2 nd page of google search : face with tears of joy :   sarcasm  	1
user a pleasure meeting you .   just a blessed , successful man	0
in case you were having a bad day	0
user user holy crap who came up with this ? it ' s literally the opposite .   sarcasm  	1
user user cant wait to see your performance . so excited about it . will be a really nice night . love you .	0
me when my friends are sad : basically becomes a psychologist . my friends when im sad : ok .   sarcasm  	1
mr chandra almost died today .   feeling     depressed     that     he     did     not   user   sarcasm  	1
i hate it when i plan a conversation in my head and the other person does not follow the script .	0
this track is pretty great . i have talented friends , man . i recommend user ' s music 100 % .	0
stuck babysitting and i am starving , someone bring me food : loudly crying face :   sarcasm  	1
me : "   fuck yeah   we have a substitute teacher ! sub : "   shut the fuck up and sit down   ! " me : " oh shit .   "   sarcasm  	1
rt india , where car drivers thinks two wheelers are idiot and two wheelers thinks car drivers are idoits .   sarcasm  	1
mum walked in with a costa	0
shame on people who cover their fugly ass identities through menfess accounts just to send bullshits to other people .	0
things money can not buy 1 . morals 2 . common sense 3 . respect things money can buy 1 . sex 2 . drugs 3 . rock n roll samesies	0
user / curious to see how the   nra   apologists / 2 nd amendmental cases " spin " this one .     he seemed so normal     not     sarcasm  	1
you all not gone see this shit coming : money - mouth face : : smiling face with horns :	0
user : it was a conspiracy to tank the whole program because he had long hair ! lol	0
rockets representing at   miaa   sportsmanship summit ! thanks for a great day .	0
well that was a great workout   not     sarcasm  	1
your snapchat story doesnt even count unless the person u want to see it has seen it . until then it ' s like it does not even exist .	0
some ppl get so caught up in the thought of a perfect relationship they forget about the real shit you gotta go through to maintain it   sarcasm  	1
i love the saved by the bell episode where zack jerks off mr . belding to get out of detention .	0
watching patch while studying for a & p lab yay  laugh    the patch     sarcasm  	1
user user user there is nothing like a well - founded fear .   sarcasm  	1
and went shopping for books . yay , you are my lucky charm ! seriously , it feels like the stars are all aligned   for this day   .   jennifer day  	0
do not you love it when your friends do not answer their phones and you are left alone   sarcasm  	1
user i hope you enjoy what ' s coming ! we are super excited !	0
user well i am a full grim reaper , which also means i am immortal	0
rt cocaine is god ' s way of telling you you are making too much money .   sarcasm  	1
that ' s awesome !	0
