text	label
i am starting to wonder if the cheerleaders & the band went to florida ? ! : flushed face : # all over the place # wondering 	1
 user i think i can speak for everyone when i say it ' s charizard cause he ' s not a dragon and that really sucks !	1
 user islanders are absolute geniuses when the roads are snow - covered . # anarchy 	1
oil staff withdrawn from north sea ahead of storm conditions # bis group # oil and gas # north sea # storm 	0
having john kerry , chuck hagel and susan rice in key security positions sure makes me feel warm and fuzzy .	1
another great user hosted , if i do say so myself . hope you all enjoyed it . if you did not , that ' s unfortunate .	1
lmfaoo i just love it when people call me a dumb blonde !	1
ohh yess my cd shop already sent the user deluxe cd # britney jean to me ! hope i will get it 2 morrow heart 	0
great , im not even tired . tomorrow ' s gonna be fun ! # gonna be so tired : sleeping face : : expressionless face : : skull :	1
why did the dinosaur walk on two legs ? to give the ants a chance .	0
. embracing the culture of the land you live on is really doing well !	1
only one more day to find your perfect new year ' s outfit and now is the perfect time to hit up the likes of # dusni 3 and # zara in # prague 	0
great job on the 2 hr delay this morning # new hanover co schools , conditions are horrible out there	1
so whats the point of memorizing all of this for so many hours if i am just going to forget it in few minutes after exam ? annoyed 	0
 user thanks giant eagle for everything you did for your employees working today . glad you are thankful for us	1
this is just going to be such an awesome break	1
0 - 1 , through ball from geoff hurst sees sir bobby slide the ball under brown	0
i just unlocked the getting started with programming badge on user ! via user	0
59 min till the end of my life # dramatic # don t make me 	1
# acak film [ peaoisrng ] ( 1947 ) arthur gould - porter , p : pearls c : usa poin : 9	0
the hallmark channel is high quality television .	1
 user phoenix is a hotbed for hockey fans apparently .	1
first year with you bruno mars ! heart @ home sweet home ! 	0
 user what ' s up john , cat got your tongue or are you to busy with your ugly wee hun daughter , we do not do walking away eh	1
i can not wait for chelsea to be my new years kiss tomorrow : face blowing a kiss : : face blowing a kiss : # bittersweet 	1
they always say the difference between the sec and the big south is the strength of the third strings . find out shortly , i guess .	1
 user that ' s a good one ! must remember that for future use happy 	0
 user my tb - hdmi adapter does that sometimes but it seems to vary with osx versions .	0
dyal side # thanksgiving . # family time # dysfunction at is # finest . thanks user for joining in the # fun . # joy joy 	1
she loved life and it loved her right back | via tumblr 	0
drwv : when i go to the gym to run i pick the treadmill behind the cutest boy so i can stare at his butt the . 	0
clearly we are both great at taking pictures but this is the only man i will ever need : kiss : : red heart : ️ : blue heart : my … 	1
got to read the whole of ' about a boy ' by thursday , hmm seems possible : face with open mouth :	1
hi liam from 1 d : red heart : if you see this , please make me very happy and ~ follow me ~ . it ' s my big wish . : winking face : ilysm xx user heart uewgfze	0
my brother dosent listen to me at all . it ' s nice to have him home	1
video : the underachievers - midnight augusto via user	0
if you wanna be crazy then you clearly have bright future ahead of you : face with tears of joy :	1
you jangan sedih sedih ya user . i will be by your side . hiks wink i tengah kumpul duit ni nak propose you hahahaha .	1
 user i am listening rapgod . you is really rap god # thanx for your work 	0
 user that ' s because he ' s a " liberal " so he must have not meant any harm by it . liberals are tolerant and not bigots .	1
have you ever noticed that it ' s only the people who are doing something that make mistakes ? wink get in the game ! 	1
yay . i am one of like ten girls . * throws celebration *	1
the emoji art and design show spotlights the picassos of texting 	0
 user can tweet everyone but not me that ' s fine .	1
 user yes , and its just as annoying as all those god awful rigondeaux - arreola comparisons . they gotta give that a rest .	1
basketball practice in less then 6 hours . yay . ! 	1
had a great time # trolling someone in a # game # teehee # overload 	1
what are these bowls i see popping up in my feed ? now i need a bowl of cereal .	1
photo : this is me . i totally look this flawless # jennifer lawrence # jlaw 	1
bout to eat a bagel that expired yesterday # yolo 	1
# acak film algf fo cemyr tdk ada yg benar . jawaban benar : flag of mercy	0
fighting about exes is always a great feeling : thumbs up :	1
 user we launched our book app ( with crumpet & cake ! ) at the royal institute , london , a month or so back . 	0
“ user : what is this tsn ? because no one has seen that yet .	1
finished my first half of doubles today can not wait for my second workout tonight # p 90 x 	1
 user user just tell you all you need to know about this team . why dont you fight for the " honor " of fans and nation ?	0
working 9pm on thanksgiving night . thanks shoppers . it ' s not like my family matters to me # i hate retail 	1
can ’ t wait for this malzahn offense to catch on in the nfl so we actually have more than 5 fantasy relevant rbs ! # kind of 	1
the screeners are doing a great job of weeding out the dirty tweeters . # cnnye # happy new year 	1
packing up the house to move . yay : persevering face : # sunday funday # moving 	1
nothing tops off my day like being called worthless # confidence booster 	1
i am not even in high school anymore but thanks to twitter i know which schools have a 2 hr delay ! yay ! : angry face :	1
thanks to everyone who checked on me yesterday , doing better now . wasn ' t angry , just really down . # 2 people checked on me 	1
so both my kids going thru this temper tantrum stage . yay me ! : unamused face : : unamused face : : unamused face : # parenthood 	1
my head hurts . guess that ' s what i get for studying for 2 hours . # testsarefun 	1
great to see the kids in great christmas spirit	1
i really love when i order my brkfst last night to wake up and they forget my order . oh the simple pleasures of an early morning . 	1
thank you four being my first real relationship and ruining my life at the same time . cause of you , i can not do alot of things . 	1
anyone got restaurant recommendations for czech xmas dinner on the 2 4 th ?	0
when you show up to class late and there ' s a surprise exam : red heart : ️ : red heart : ️ : red heart : ️ : red heart : ️	1
perfect day to go out for coffee . # drive thru 	1
today stats : no new followers , 5 unfollowers via 	0
i am thoroughly enjoying all of the awful conversations i have been having the past two days .	1
" the broncos are doing so good , " said 1998 . : confused face : # chargers vs broncos # bummer # ouch # great team 	1
“ user : my level of has gotten to the point where i do not even know if i am kidding or not . ”	1
 user do not you know that in the usa , we hate you once you make a mistake . # sorta 	1
 user haha your so funny . but for real we are all going	1
webinar with landatel for spanish customers - 21 of november we organized webinar for 80 customers of . 	0
