text	label
i be start to wonder if the cheerleader & the band go to florida ? ! : flushed face : all over the place wondering	1
user i think i can speak for everyone when i say it ' s cause he ' s not a dragon and that really suck !	1
user islander be absolute genius when the road be snow - cover . anarchy	1
oil staff from north sea ahead of storm condition bi group oil and gas north sea storm	0
have john kerry , chuck hagel and susan rice in key security position sure make me feel warm and fuzzy .	1
another great user host , if i do say so myself . hope you all enjoy it . if you do not , that ' s unfortunate .	1
i just love it when people call me a dumb blonde !	1
ohh yes my cd shop already send the user deluxe cd britney jean to me ! hope i will get it 2 heart 	0
great , im not even tire . tomorrow ' s gon na be fun ! gon na be so tired : sleeping face : : expressionless face : : skull :	1
why do the dinosaur walk on two leg ? to give the ant a chance .	0
. embrace the culture of the land you live on be really do well !	1
only one more day to find your perfect new year ' s outfit and now be the perfect time to hit up the like of 3 and in prague	0
great job on the 2 hr delay this morning new co school , condition be horrible out there	1
so whats the point of memorize all of this for so many hour if i be just go to forget it in few minute after exam ? annoy 	0
user thanks giant eagle for everything you do for your employee work today . glad you be thankful for us	1
this be just go to be such an awesome break	1
0 - 1 , through ball from see sir bobby slide the ball under brown	0
i just unlock the get start with program badge on user ! via user	0
59 min till the end of my life dramatic don t make me	1
acak film [ ] ( 1947 ) arthur gould - porter , p : pearls c : usa poin : 9	0
the hallmark channel be high quality television .	1
user phoenix be a hotbed for hockey fan apparently .	1
first year with you bruno mar ! heart @ home sweet home ! 	0
user what ' s up john , cat get your tongue or be you to busy with your ugly wee hun daughter , we do not do walk away eh	1
i can not wait for chelsea to be my new year kiss tomorrow : face blow a kiss : : face blow a kiss : bittersweet	1
they always say the difference between the sec and the big south be the strength of the third string . find out shortly , i guess .	1
user that ' s a good one ! must remember that for future use happy 	0
user my tb - do that sometimes but it seem to vary with osx version .	0
side thanksgiving . family time dysfunction at be fine . thanks user for join in the fun . joy joy	1
she love life and it love her right back | via tumblr 	0
: when i go to the gym to run i pick the behind the cut boy so i can stare at his butt the . 	0
clearly we be both great at take picture but this be the only man i will ever need : kiss : : red heart : ️ : blue heart : my … 	1
get to read the whole of ' about a boy ' by thursday , hmm seem possible : face with open mouth :	1
hi liam from 1 d : red heart : if you see this , please make me very happy and ~ follow me ~ . it ' s my big wish . : winking face : ilysm xx user heart 	0
my brother listen to me at all . it ' s nice to have him home	1
video : the - midnight via user	0
if you wan na be crazy then you clearly have bright future ahead of you : face with tear of joy :	1
you jangan sedih sedih ya user . i will be by your side . wink i duit ni nak propose you hahahaha .	1
user i be listen rapgod . you be really rap god thanx for your work	0
user that ' s because he ' s a `` liberal `` so he must have not mean any harm by it . liberal be tolerant and not bigot .	1
have you ever notice that it ' s only the people who be do something that make mistake ? wink get in the game !	1
yay . i be one of like ten girl . * throw celebration *	1
the emoji art and design show the picasso of texting 	0
user can tweet everyone but not me that ' s fine .	1
user yes , and its just as annoy as all those god awful - comparison . they get ta give that a rest .	1
basketball practice in less then 6 hour . yay . !	1
have a great time troll someone in a game overload	1
what be these bowl i see pop up in my feed ? now i need a bowl of cereal .	1
photo : this be me . i totally look this jennifer lawrence 	1
bout to eat a bagel that expire yesterday yolo	1
acak film fo tdk ada yg benar . jawaban benar : flag of	0
fight about ex be always a great feeling : thumb up :	1
user we launch our book app ( with & cake ! ) at the royal institute , london , a month or so back . 	0
“ user : what be this tsn ? because no one have see that yet .	1
finish my first half of double today can not wait for my second workout tonight p 90 x	1
user user just tell you all you need to know about this team . why dont you fight for the `` honor `` of fan and nation ?	0
work 9pm on thanksgiving night . thanks shopper . it ' s not like my family matter to me i hate retail	1
can ’ t wait for this malzahn offense to catch on in the nfl so we actually have more than 5 fantasy relevant rb ! kind of	1
the be do a great job of weed out the dirty tweeter . happy new year	1
pack up the house to move . yay : persevering face : sunday funday move	1
nothing top off my day like be call worthless confidence booster	1
i be not even in high school anymore but thanks to twitter i know which school have a 2 hr delay ! yay ! : angry face :	1
thanks to everyone who check on me yesterday , do good now . wasn ' t angry , just really down . 2 people check on me	1
so both my kid go thru this temper tantrum stage . yay me ! : unamused face : : unamused face : : unamused face : parenthood	1
my head hurt . guess that ' s what i get for study for 2 hour .	1
great to see the kid in great christmas spirit	1
i really love when i order my last night to wake up and they forget my order . oh the simple pleasure of an early morning .	1
