text	label
wow , this be a new year ' s eve to remember c ; - . - t	1
wow . it ' s only 9am and i already ruin my favorite jean . it ' s gon na be a great day .	1
user country be just rivet for this power match up !	1
user hahah , thanks mate , lack of sleep do this to me laugh 	0
nih . user . dah contact dia . plus susah nak contact dia sad .	0
tb ' s not play tonight due to still - broken leg . wasn ' t go to start anyway . big break for flyer .	1
user artist of the year be as user female pop / rock be as user female soul / r & b be as user soul / r & b album be as	0
fell down the stair earlier ouch , great !	1
im so achy i could not sleep last night and i have to leave church early for work today go to be a wonderful day	1
user do all the previous tier apply to the tier i choose ? meaning if i money , do i get the tier as well or not ?	0
i try to get you out of my head but the truth be i get lose without you	0
great foul felton after great defense from melo	1
they put me on by myself . this job love me !	1
what an impressive win by florida st . today . so over rat !	1
hey guy , guy , guess what ? the hof announcement be tomorrow ! another flood of hof blog article to follow for the next week . joy	1
do my sport psychology paper on a late saturday afternoon best day ever love	1
user sen abi ' ?	0
thing just never go tom brady ' s way , do they ?	1
have to be up for work in 5 hour and im still awake my life just great shit im gon na be tire : thumb up :	1
i `` love `` how every netflix episode be literally just a of every plot point from the episode .	1
gh ' s rating be come for yr ' s but as they say , `` there ' s more to the story `` . wink . shade i throw	1
seriously can not feel my body right now . man i love be sick why	1
i be really glad that i remember stuff from last night nye	1
user i love you ' nelson mandela dy at 95 ' respect where it ' s due . that ' s 5 mile an hour faster than paul walker .	0
user no shot . we ' d crush it . it ' d be our warm up : winking face :	1
we do have the high rate in world that ' s something to be proud of i suppose freedom	1
user ! be you in europe now with the `` stollen `` or expose to stollen happy 	0
its wrong for a man to go toe to toe with a woman unless its in an action movie , its ok for you kid to see it then !	1
so hughes have be charge but rodgers get away with an explanation . user seem like justice prevail . user user user	1
27 . & dj - inside a dream ( marc van gale ' s tech remix ) at a eoy trance family user	0
huh , i get a reply from and a retweet from the `` `` on here . over a year ago . whoop .	1
just get slap with a stick of deer summer sausage . how lovely . the kind that you eat	1
user i just want you to know i absolutely love when you fall asleep on me at night ! i love you though . : face blow a kiss :	1
wow the wall in my room be so interesting	1
i love find out my nephew be try to be bear two month early on facebook . tool	1
user haha yap and i be not give sympathy before	1
wow i just love how sassy airline people be at 4 a . m ! i even love be stick in san jose due to fog ! . : broken heart :	1
that ' s odd , be never in a bad mood she always be	1
pretty sure i be good than user at call of duty	1
user i be like what be this girl ask that might be real . i be so : flushed face :	0
paul so a very sailor , a lamp shade and a life size count as fashion . well get ready milan here i come no thanks	1
i wake up and saw myself sa mirror and say `` wow ang ganda ko ! `` oops i didnt get to take out my make up last night ! bad habit	0
user way to steal the yankee thunder aa blockbuster blue jay	1
as much as i love van ' s in the heat of an ongoing case , his spec be . msnbc politics nation	1
i love how all these people wan na hang out with me tonight ! : pensive face :	1
& this day just keep gettin good . 3 final leave line for test center too long still have presentation not do until 10 pm kobe injury	1
it lead me into be , i be naturally the opposite	0
: weary face : rt user : when you be hungry but do not know what to eat . be not that just an amazing feeling : smile face with smile eye : in	1
user feel good to be ignore and not follow by u aha beware :	1
if your not go to respond properly dont fuck ask frustrate like you actually care	1
no but i mean thank god there ' s a calc test first period .	1
i wake up and discover that the oiler lose yet again . i , for one , be shock . 15 year rebuild	1
16 solve murder have never be so much fun . castle tv crime drama people choice	0
hope user have a freak amazing time at justin timberlake tonight bring me back a tshirt	1
so tired . 13 hour day . time to hit the hay to do it all over again . manager status my weekend be awesome	1
user user user . but point . wasn ' t bad and money be a lot when we still need to redo	1
i love how crappy rap artist rip off old great song to get popular	1
love the attitude of last minute xmas shopper !	1
today ' s just go great . how could it possibly get any good .	1
you know what this chic outfit be miss ? yep , a little . apparently the of the winter season . still like my job	1
you know what this nfl playoff game need ? more of play . there definitely have not be enough of that yet .	1
hey internet . i do not really mean that ohio state should play for the title	1
user i have already a taste of that implement ssao , which be dither , then blur . you get , but it communicate the idea .	0
the best apps for enjoy concert , theatre performance and general interaction between people be call eye ! different world	0
user salt water kill brain cell . that ' s real science .	1
well that ' s a complete disappointment . so much for nothing that go well	1
“ user : do anyone know what btn be air at 7pm tonight ? ” what be btn show now ?	1
look forward to a hot day this thursday annoy 	1
it ' s say that be the low form of wit . to that i say `` no , really ? hey , somebody give this person a nobel peace prize ! ``	1
shark night 3 d be not any good the second time around fantastic movie	1
user i do not realize a upper infection , you from play any defense pau user	1
glad you could fuel the fire of hate my sister have towards me user user	1
user : see - no - evil monkey : : see - no - evil monkey : : see - no - evil monkey : must be tough to be a white male in america	1
