text	label
absolutely love when water is spilt on my phone .  repeated  just love it .  repeated   hashtag  time for a new phone  /hashtag  .  repeated 	1
i was hoping just a  allcaps  little  /allcaps  more shit could hit the fan this week .	1
 user  do not forget that nick foles is also the new tom brady . what a preseason !  hashtag  toomanystud q bs  /hashtag   hashtag  thank god we don t have tebow  /hashtag 	0
i constantly see tweets about arsenal on twitter . thanks for keeping the world updated  user  &  user  .  hashtag  huge arsenal fans  /hashtag 	0
can feel the feet pulsating .  repeated  slow one .  repeated  because my resting heart rate is circa 4 5 bpm .  repeated 	0
10 users followed me and 7 users unfollowed me today ( checked by  url  [ autotweet ]	0
god  elongated  that shower felt so gud  elongated  .	0
can feel the feet pulsating .  repeated  slow one .  repeated  because my resting heart rate is circa 4 5 bpm .  repeated 	0
you are my kryptonite  elongated  !  heart  rt als je dit herkent ( ( ( one direction )	0
love an on field argument with  user   hashtag  fuck off you cunt  /hashtag   hashtag  you fuck off  /hashtag   hashtag  nice header  /hashtag   hashtag  nice kick  /hashtag 	0
wow , kids drinking vodka in the back of the room during a lecture . you guys are classy .	1
we all have that one person who we wished we never gave our phone number to .  repeated   hashtag  ted  /hashtag 	0
tweeter ? twits ? austin and ally sure is creative .  hashtag  omg i have to twit  /hashtag 	0
 user  and 3 gallons of seeman	0
you know what we could be together for life but you f**ked  censored  me last nigth and i was drunk .  repeated  ,  hashtag  quotes  /hashtag   hashtag  fake love  /hashtag 	0
i think  hashtag  hoot suite  /hashtag  is pretty hoot . er .  repeated  hot .  url 	0
i can do what i want to . i play by my own rules : purple heart :	0
first day of school .  repeated  how exciting !  hashtag  exhausted  /hashtag 	0
you are dragged down by the very people who claim they are trying to inspire .	0
 user  lol .  repeated  you got it in one  happy  , bed now night monkey see you some time soon at worky woo	0
maths is on .  url 	0
oh , love this ! shaky camera : check rt  user  fake , of course , but i still love this  allcaps  ufo  /allcaps  vid  url 	0
new jersey shopping plaza shootout leaves three dead - yahoo !  url  via  user 	0
love the political advice on twitter .  hashtag  get informed  /hashtag 	0
rock & roll hall of famers , the yardbirds are back on tour , , check out  url  they brought us jeff beck please retweet	0
brain says he will not be making anymore transfers  sad   hashtag  exciting  /hashtag 	0
 user  mer  elongated  fuck my life	0
 user   user  i wudnt say funny lmao !  repeated 	0
 user  should move back up fella . i am already here .  repeated  on my own .  repeated  having loads of fun	0
 user  absolutely ! she just keeps re - tweeting anything and everything that mentions her name . my page is flooded ! enough , i said .	0
 user  looks awesome . how long did it take to paint ?	0
i do not know what to do with my life besides get high and make music	0
this 8:20 friday class is gonna be great  elongated  !  repeated 	1
too bad she ' s not  allcaps  that  /allcaps  good at playing the gay part of her character .  hashtag  pll  /hashtag 	0
this lab class boring af	0
i chose brown sugar mini wheats	0
 hashtag  love  /hashtag  being up early after getting no sleep	1
can someone please tell me why it smells like poop in lebanon right now ? !  repeated  like seriously though .  repeated   hashtag  so gross  /hashtag    	0
tweeter ? twits ? austin and ally sure is creative .  hashtag  omg i have to twit  /hashtag 	0
 user  lol itold you iwasnt coming .  happy  what we do in class ?	0
 hashtag  projectrunway  /hashtag  ven ur dress gave ur model a 3 rd  allcaps  breast  /allcaps  ! nice , just what every gal wants ! u sure know design better than women !	0
actually goin to school tomorrow (x	0
 user  engga jadi kan !  repeated   laugh  abis aku on lewat hp jadi ngga bisa edit prof  laugh 	0
rock & roll hall of famers , the yardbirds are back on tour , , check out  url  they brought us jeff beck please retweet	0
wanna know how i know your gay ?  repeated  because when the truth got out about you it got you hot . oops my bad yall know dam well  allcaps  idgaf  /allcaps 	0
 user  pengguna baru twett , mhon bantuanx ya . .  laugh 	0
these tuff  url 	0
 user   user  hopefully not a strangers car .  repeated   happy 	0
rat go  elongated  to sleep ugh  elongated 	0
 user  thankyouu ! my dad do not understand why i am so pleased with that result ! haha xx	0
thank god i invested in an umbrella this year .	0
i was gone for 3 days and my cat did not even notice .  repeated 	0
" well she is pretty ! fifty shades of pretty ! "  user   user   user 	0
i keep waking up and falling back to sleep	0
i constantly see tweets about arsenal on twitter . thanks for keeping the world updated  user  &  user  .  hashtag  huge arsenal fans  /hashtag 	0
 user  yay  elongated  * insert ' always look on the bright side of life ' joke here *  tong 	0
off to jamaica manana ! even though this trip is not precipitated by the best circumstances , i am looking forward to being home with fam  happy 	0
spending the night in na .  repeated   hashtag  woo  elongated   /hashtag 	0
 user  it ' s fun when i only understand  percent  of the words in your tweets !	0
happy birthday  user  . i miss you hope , you enjoy your day !	0
 allcaps  even more breaking shocking news  /allcaps  : chelsea and barcelona have agreed on a  money  fee for lionel messi ! more to follow !  hashtag  itk agent  /hashtag  "	0
 user  lol itold you iwasnt coming .  happy  what we do in class ?	0
 user   user  oh gosh .  repeated  i am just so stoked . hahahah can not even wait .	0
haha wow it ' s amazing how some seniors can leave after fourth period  hashtag  jealous  /hashtag  : loudly crying face : : sad but relieved face :	1
i really admire your maturity .	0
nothing like being in class two hours and having two hours to go !  hashtag  tde 220  /hashtag 	1
to anyone still making the ' something about a picture of andy carroll .  repeated   allcaps  oh no wait  /allcaps  , it '  allcaps  s a horse  /allcaps  ' joke ; stop .	0
lmfao cinnabon followed me : face with tears of joy :	0
eww , just saw this nasty , frumpy girl lift up her boob and scratch underneath it .  repeated  just puked a little	0
 hashtag  hoam  /hashtag  rt  user  : we live in a world where losing your phone is more dramatic than losing your virginity .	0
what to do ? help please  user   user   url 	0
