text	label
absolutely love when water be spill on my phone . just love it . time for a new phone .	1
i be hop just a little more shit could hit the fan this week .	1
user do not forget that nick foles be also the new tom brady . what a preseason ! toomanystud q b thank god we don t have tebow	0
i constantly see tweet about arsenal on twitter . thanks for keep the world update user & user . huge arsenal fan	0
can feel the foot pulsate . slow one . because my rest heart rate be circa 4 5 bpm .	0
god that shower felt so gud .	0
can feel the foot pulsate . slow one . because my rest heart rate be circa 4 5 bpm .	0
you be my kryptonite ! heart rt al je dit herkent ( ( ( one direction )	0
love an on field argument with user fuck off you cunt you fuck off nice header nice kick	0
wow , kid drink vodka in the back of the room during a lecture . you guy be classy .	1
we all have that one person who we wish we never give our phone number to . ted	0
tweeter ? twit ? austin and ally sure be creative . omg i have to twit	0
user and 3 gallon of seeman	0
you know what we could be together for life but you fuck me last nigth and i be drunk . , quote fake love	0
i can do what i want to . i play by my own rule : purple_heart :	0
first day of school . how exciting ! exhaust	0
you be drag down by the very people who claim they be try to inspire .	0
user lol . you get it in one happy , bed now night monkey see you some time soon at worky woo	0
love the political advice on twitter . get inform	0
brain say he will not be make anymore transfer sad excite	0
user mer fuck my life	0
user user i wudnt say funny lmao !	0
user should move back up fella . i be already here . on my own . have load of fun	0
user absolutely ! she just keep re - tweet anything and everything that mention her name . my page be flood ! enough , i say .	0
user look awesome . how long do it take to paint ?	0
i do not know what to do with my life besides get high and make music	0
this 8:20 friday class be gon na be great !	1
too bad she ' s not that good at play the gay part of her character . pll	0
this lab class boring af	0
i choose brown sugar mini wheat	0
love be up early after get no sleep	1
can someone please tell me why it smell like poop in lebanon right now ? ! like seriously though . so gross   	0
tweeter ? twit ? austin and ally sure be creative . omg i have to twit	0
user lol itold you iwasnt come . happy what we do in class ?	0
projectrunway ven ur dress give ur model a 3 rd breast ! nice , just what every gal want ! u sure know design well than woman !	0
actually goin to school tomorrow ( x	0
user engga jadi kan ! laugh abis aku on lewat hp jadi ngga bisa edit prof laugh 	0
wan na know how i know your gay ? because when the truth get out about you it get you hot . oops my bad yall know dam well idgaf	0
user pengguna baru twett , mhon bantuanx ya . . laugh 	0
user user hopefully not a stranger car . happy 	0
rat go to sleep ugh	0
user thankyouu ! my dad do not understand why i be so pleased with that result ! haha xx	0
thank god i invest in an umbrella this year .	0
i be go for 3 day and my cat do not even notice .	0
`` well she be pretty ! fifty shade of pretty ! `` user user user	0
i keep wake up and fall back to sleep	0
i constantly see tweet about arsenal on twitter . thanks for keep the world update user & user . huge arsenal fan	0
user yay * insert ' always look on the bright side of life ' joke here * tong 	0
off to jamaica manana ! even though this trip be not precipitate by the best circumstance , i be look forward to be home with fam happy 	0
spend the night in na . woo	0
user it ' s fun when i only understand percent of the word in your tweet !	0
happy birthday user . i miss you hope , you enjoy your day !	0
even more breaking shock news : chelsea and barcelona have agree on a money fee for lionel messi ! more to follow ! itk agent ``	0
user lol itold you iwasnt come . happy what we do in class ?	0
user user oh gosh . i be just so stoked . hahahah can not even wait .	0
haha wow it ' s amaze how some senior can leave after fourth period jealous : loudly_crying_face : : sad_but_relieved_face :	1
i really admire your maturity .	0
nothing like be in class two hour and have two hour to go ! tde 220	1
to anyone still make the ' something about a picture of andy carroll . oh no wait , it ' s a horse ' joke ; stop .	0
lmfao cinnabon follow me : face_with_tears_of_joy :	0
eww , just saw this nasty , frumpy girl lift up her boob and scratch underneath it . just puke a little	0
hoam rt user : we live in a world where lose your phone be more dramatic than lose your virginity .	0
user pres . obama should have say `` freestyle ? be that like dressage on a bike ? ``	0
user pew yg rmai ?	0
dirt under your finger nail have to be the most disgusting look thing ever	0
user user انا مقتنع براى وهقنعك وممكن بكره القيكى بتتجوزى laugh 	0
user user hopefully not a stranger car . happy 	0
i feel so much good and my voice be semi - normal .	0
user just pass by your house bud : winking_face :	0
user great way to start the senior year	0
love work on my last day of summer .	1
love get home from work know that in less than 8 hour you be get up to go back there again .	1
may that all thing go good today at dacula high school . no drama lol	0
put it on em , make em wan na marry me bitch shutup with all that shit . !	0
the natalee holloway movie make me wan na cry : sad_but_relieved_face : : sad_but_relieved_face : : sad_but_relieved_face : : loudly_crying_face : : loudly_crying_face :	0
i love when my retainer be super tight and make me talk so attractively ! not major lisp	1
if my mom wasnt my mom i think i would snuff the shit outta her . - ____ -	0
give a person power that will be a true test of character .	0
jersey shore us cancel ? so sad	0
user so do you sparkle in the sunlight be a `` vampire `` and all ? _ 	0
i must go like a page for me to look like ise a batty lord , just for one girl idk to get hair ? vell chap my leg off and call me shorty	0
i feel so much good and my voice be semi - normal .	0
this boy have rosary bead tattoo on him but he be muslim ?	0
i just love eight o ' clock class : unamused_face :	1
imma stop snapping tho .	0
user look awesome . how long do it take to paint ?	0
i love go into work at 4:30 in the morning it s go to be a long day	1
love to everyone i spend carnival with , it be special , it be so live !	0
the average man could not handle my haircut	0
espn be disapionted that they didnt get the cfl game tonight . it be monday night after all mnf	0
just get off the horn with clint . tell me he really give a shit what people think . note to twitter	0
user : only take you 14 min to decide ? i can only hope you give the dnc equal time .	0
bianca tell me that my hair growin wild son ! we need to go get that cut , i say i know mama .	0
if you appreciate my nerdy tendency the love be real	0
wait what ? it ' s a cat now ? what be happen ?	0
gee wiz what a great day so far . you can cut the tension with a knife and they think im fake great .	1
user pres . obama should have say `` freestyle ? be that like dressage on a bike ? ``	0
`` well she be pretty ! fifty shade of pretty ! `` user user user	0
just sprain my foot . happy day .	1
feel like crap , tomorrow should be great . throat hurt allergy	0
wow , kid drink vodka in the back of the room during a lecture . you guy be classy .	1
actually goin to school tomorrow ( x	0
maryland absolutely , positively do the right thing not honor james franklin ' s `` head coach in wait `` status .	0
i be hop just a little more shit could hit the fan this week .	1
user r u aware ur little brother watch pll with ur sister . he be tell my sister all about it	0
everybody go follow my nigguh user !	0
love be leave alone in the hall while people go and sing loner	1
what wonderful weather we be have right now .	1
user user yeah , trophy and goal be not everything .	0
another morning like this . fun	0
1 be and i can already tell today will be a great day	0
to anyone still make the ' something about a picture of andy carroll . oh no wait , it ' s a horse ' joke ; stop .	0
user : only take you 14 min to decide ? i can only hope you give the dnc equal time .	0
cabin in the wood udah release !	0
woo ! when you be up to 12:30 finishing you be english paper !	0
pretty excite about one of the activity tom & i come up with for veteran training . surprise .	0
so i accidentally take over the whole room and now i be try to make room for my roommate . who be come tomorrow btw . rush	0
user just pass by your house bud : winking_face :	0
morning people . roadtrip today . unfortunately that mean sit in the car with my family for 3 or 4 hour . yay !	1
current event , us history , spanish and english . my night gon na be so much fun .	0
it seem too early for this to be call an instant classic but gophs / unlv be all that .	0
feel good this morning happy 	0
user user i ' dbe happy with sturridge , need a finisher . or maybe jamie hopkins , lol .	0
do you want a cookie for that ? not a great achievement	0
school be go by fast until all you fuck niggas go back .	0
good job student finance be on top of thing as per didn t want money anyway not guna get mw down	1
school . there ' s a fun time woo	0
user la po bang shedule of show dito sa abu dhabi ?	0
just get my gorgeous boyfriend another prezzie he will love me forever user laugh x	0
