text	label
give a person power that will be a true test of character .	0
user at 21 he look to have a lot of potential and can only get good , a good signing for the long term at villa	0
i be about to fall asleep and i still have to babysit for 3 more hour	0
i love hear the shot from the shoot range all day ahha lie tell on twitter	0
so excited for this cross country meet ! anything or cross country	0
fuck these outta town hoe i be stick with my local love	0
user good you will save more money that way	0
if i could put into word how much i love wake up at 5 be on tuesday ' s i would . : unamused face : .	1
the united state be a signatory to this international convention .	0
jersey shore us cancel ? so sad	0
rrg my teeth ache so much ! oh well anything for straight teeth .	0
this weekend be gon na fuck suck can t wait	1
user user - i be sure mr raja rental would have a nice profitable scheme in mind	0
user thankyouu ! my dad do not understand why i be so pleased with that result ! haha xx	0
user aww . subway pop though	0
our friend at the fowler house in quincy love bawstins so much they may be add it to their favorite dish . look out its gon na be awesome !	0
user good one at its intellectual best ! good act too !	0
of course i have the early appointment at the dmv and the computer crash last night great morning	1
start my day off with some nice encouragement from my mom . awesome morning	0
“ user : all bwfc fan should support arsenal for the simple reason that they be title contender ” user	0
omg most insane matriculants , we rather play soccer than study 4 prelim laugh user , user , user , user , soccer 4 lyf : heart suit :	0
booty call have successfully be complete laugh wow user	0
be it weird that `` over my dead body `` use to make me cry ? juss the chorus thoo . haha	0
spongebob episode ill never forget when spongebob and patrick wrestle against each other , and they get really hot and muscular .	0
lol i just notice that i be so unhappy with u before lol	0
user cop would never do anything illegal or wrong though	0
yay , i be so happy it ' s tuesday : unamused face :	0
guy smoking in a smoke free part of campus . shame on them .	0
user yeah , but beckett be the kind of guy that just make you want to root for him .	0
yeah , you all sure do keep it classy bust	0
wow . you sure know how to reel in the hotties	0
lay in the dark : beaming face with smile eye : : smirk face :	0
user yuu have a good day to	0
i can do what i want to . i play by my own rule : purple heart :	0
you be my kryptonite ! heart rt al je dit herkent ( ( ( one direction )	0
business japan ' s industrial output resume slide , sink 1.2 percent , amid weak global . - washington post news	0
what beautiful passport photo i just take vom	1
i be go for 3 day and my cat do not even notice .	0
user user i think it be our amazing teacher	0
some of these speaker @ the rnc be just to rivet to watch .	0
user have an ex who work at vnu . fantastic fact	0
user i feel bad for those kid	0
and now the time be more than 4pm . so i should get ready . bubbye .	0
in such a happy mood	0
user make it on to the billboard hot 100 for the first time with ' never '	0
user good you will save more money that way	0
woo best part be the library tour	0
love you more than this kode asikasik * poke user tong hahah	0
iframes be the way forward	0
leicester later with jess laugh 	0
no shame in that .	0
user thankyouu ! my dad do not understand why i be so pleased with that result ! haha xx	0
user user oh gosh . i be just so stoked . hahahah can not even wait .	0
but it ' s cool never again	0
rehearsal from 8 - 11 . one week till showtime , then take a week break so i could visit jersey then back at it again . dance heart 	0
those dream be beyond f - ed up last night . great start for the day : pensive face :	1
take my boy into town today - aw yay	0
well , today have start of to a wonderful start .	0
user i know i ' d heard that name somewhere !	0
user user hopefully not a stranger car . happy 	0
someone who speak of something that complete opposite of what he mean , . correct me if i be wrong again .	0
dream be what i use to chase but by god ' s grace and favour . they be chase me now . always grateful	0
our friend at the fowler house in quincy love bawstins so much they may be add it to their favorite dish . look out its gon na be awesome !	0
glad to know i mean so much to you .	0
no my roommate play out of tune zeppelin song right outside my door isnt annoy . not at all sigh	1
thanks for make me feel important . if only you understand .	0
when i really wana sleep n ppl wana chat ✗	0
well orientation sure be go great	0
i love go into work at 4:30 in the morning it s go to be a long day	1
