text	label
user great way to start the senior year	0
dear teva , thank you for waking me up every few hours by howling . your just trying to be mother natures alarm clock .	1
user stop bitching if you wasn ' t a dick you would still be with the 1 st team	0
i really hope the entire population of peterborough county enjoys their a & w . not busy at all	1
i like the way you french . inhale , do it again : red heart :	0
was that necessary ? thanks	0
you know what we could be together for life but you fucked me last nigth and i was drunk . , quotes fake love	0
have not been able to sleep , so i have been playing words with friends and angry birds all night . what a thrilling life i lead .	1
projectrunway ven ur dress gave ur model a 3 rd breast ! nice , just what every gal wants ! u sure know design better than women !	0
spotted : user doing keepy - ups outside the etihad stadium i dont wanna go to stoke please take me transfer deadine day	0
user happy happy happy happy ha ! :'l oh i just love you so much for putting this on twitter -.- wink 	0
eww , just saw this nasty , frumpy girl lift up her boob and scratch underneath it . just puked a little	0
user user - i am sure mr raja rental would have a nice profitable scheme in mind	0
bianca told me that my hair growin wild son ! we need to go get that cut , i said i know mama .	0
user yea dawg lets go .	0
first day of senior year woohoo	0
i hate to bring my cell phone with me when i go to the bathroom .	0
yay for 4 and a half hour sleep . too tired need bed now	1
re - mf - tweet “ user : i am so proud of our graduating class . ”	0
user twitter is not your personal diary , you should be a little more vague . when are you coming to me	0
monitoring the hashtag ph trench quake stay safe follow orders please	0
school . there ' s a fun time woo	0
love you more than this kode asikasik * poke user tong happy h	0
time to get excited for hydraulics ! yeah buddy !	0
do you want a cookie for that ? not a great achievement	0
sydney billionaire james packer keeps gloating about how much he ' s making out of crown . city of melb should double his rate bill to money .	0
i love how all your tweets and instas are so original people pleasers : thumbs down :	0
guy smoking in a smoke free part of campus . shame on them .	0
" user : this peom " if " that neves wants us to write a constructive response about makes no sense . is this a joke " ikr ? !	0
laying in the dark : beaming face with smiling eyes : : smirking face :	0
spotted : user doing keepy - ups outside the etihad stadium i dont wanna go to stoke please take me transfer deadine day	0
people protesting in favour of " men ' s affairs " in front of parliament - yes , the poor plight of the middle class white man .	1
dude u were 3 hrs late , do somn abt botho f yall rt " user user & his inability to keep to time ? even wen i was 3 hours late ! "	0
it seems the only time i can stay awake now it ' s at 4:30 in the morning . no need to sleep anymore . do not worry . i am fine . fml	1
dirt under your finger nails has to be the most disgusting looking thing ever	0
user lol . you got it in one happy , bed now night monkey see you some time soon at worky woo	0
let us show everybody just how good we are tonight d user user user user user user user	0
love working on my last day of summer .	1
