text	label
nih min buat fans arsenal  user   laugh   url 	0
give a person power that will be a true test of character .	0
 user  at 21 he looks to have a lot of potential and can only get better , a good signing for the long term at villa	0
i am about to fall asleep and i still have to babysit for 3 more hours	0
i love hearing the shots from the shooting range all day  allcaps  ahha  /allcaps   hashtag  lies told on twitter  /hashtag 	0
 allcaps  so  elongated  excited for this cross country meet  /allcaps  !  repeated   hashtag  anything or cross country  /hashtag 	0
fuck these outta town hoes i am sticking with my local love	0
 user  good you will save more money that way	0
if i could put into words how much i love waking up at 5 am on tuesday ' s i would .  repeated  : unamused face : .	1
 user  check out the 3 rd  hashtag  lab life  /hashtag  installment  url 	0
the united states is a signatory to this international convention .	0
jersey shore us canceled ?  hashtag  so sad  /hashtag 	0
rrg my teeth ache so much !  repeated  oh well anything for straight teeth .	0
this weekend is gonna fucking suck  hashtag  can t wait  /hashtag 	1
 user   user  - i am sure mr raja rental would have a nice profitable scheme in mind	0
check out this great item : 2 6 x1 . 5 / 1.75 weinmann 519 wheelset quick release  url 	0
 user  thankyouu ! my dad do not understand why i am so pleased with that result ! haha xx	0
 user  aww . subway popping though	0
our friends at the fowler house in quincy love bawstins so much they may be adding it to their favorite dish . look out its gonna be awesome !	0
 user  good one at its  hashtag  intellectual  /hashtag  best ! good  hashtag  acting  /hashtag  too !	0
of course i have the earliest appointment at the dmv and the computers crashed last night  hashtag  great morning  /hashtag 	1
starting my day off with some nice encouragement from my mom .  repeated   hashtag  awesome morning  /hashtag 	0
chillin ' with a game of rock band 3 . fun times to be had .  url 	0
“  user  : all  hashtag  bwfc  /hashtag  fans should support  hashtag  arsenal  /hashtag  for the simple reason that they are  hashtag  title contenders  /hashtag  ”  user 	0
omg most insane matriculants , we rather play soccer than study 4 prelims  laugh   user  ,  user  ,  user  ,  user  ,  hashtag  soccer 4 lyf  /hashtag  : heart suit :	0
booty call has successfully been completed  laugh  wow  elongated   user 	0
 laugh  does this make me cool ? !  repeated   url 	0
is it weird that " over my dead body " used to make me cry ? juss the chorus thoo .  repeated  haha	0
pentagon threatens legal action over bin laden book -  url  yeah , that should help your re - election  user 	0
 hashtag  spongebob episode ill never forget  /hashtag  when spongebob and patrick wrestle against each other , and they get really hot and muscular .	0
lol i just noticed that i was so unhappy with u before lol	0
the ozmoga times is out !  url  ▸ top stories today via  user   user 	0
 user  cops would never do anything illegal or wrong though	0
yay , i am so happy it ' s tuesday : unamused face :	0
guy smoking in a smoke free part of campus .  repeated  shame on them .  repeated 	0
 user  yeah , but beckett is the kind of guy that just makes you want to root for him .	0
yeah , you all sure do keep it classy  hashtag  busted  /hashtag 	0
wow . you sure know how to reel in the hotties	0
laying in the dark : beaming face with smiling eyes : : smirking face :	0
 user  yuu have a good day to  elongated 	0
i can do what i want to . i play by my own rules : purple heart :	0
you are my kryptonite  elongated  !  heart  rt als je dit herkent ( ( ( one direction )	0
 hashtag  business  /hashtag  japan ' s industrial output resumes slide , sinking 1.2 percent , amid weak global .  repeated  - washington post  hashtag  news  /hashtag 	0
what beautiful passport photos i just took  hashtag  vom  /hashtag 	1
i was gone for 3 days and my cat did not even notice .  repeated 	0
 user  twitter ? lol	0
 user   user  i think it was our amazing teacher	0
